"Id","Model","Price","Age_08_04","Mfg_Month","Mfg_Year","KM","Fuel_Type","HP","Met_Color","Color","Automatic","CC","Doors","Cylinders","Gears","Quarterly_Tax","Weight","Mfr_Guarantee","BOVAG_Guarantee","Guarantee_Period","ABS","Airbag_1","Airbag_2","Airco","Automatic_airco","Boardcomputer","CD_Player","Central_Lock","Powered_Windows","Power_Steering","Radio","Mistlamps","Sport_Model","Backseat_Divider","Metallic_Rim","Radio_cassette","Parking_Assistant","Tow_Bar","Price_Per_KM","High_Mileage","HP_Per_Weight","Price_Tier"
1,"TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors",13500,23,10,2002,46986,"Diesel",90,1,"Blue",0,2000,3,4,5,210,1165,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0.287319627122973,"Low",0.0772532188841202,"Mid-Range"
2,"TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors",13750,23,10,2002,72937,"Diesel",90,1,"Silver",0,2000,3,4,5,210,1165,0,1,3,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0.188518858741105,"Low",0.0772532188841202,"Mid-Range"
3,"TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors",13950,24,9,2002,41711,"Diesel",90,1,"Blue",0,2000,3,4,5,210,1165,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.334444151422886,"Low",0.0772532188841202,"Mid-Range"
4,"TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors",14950,26,7,2002,48000,"Diesel",90,0,"Black",0,2000,3,4,5,210,1165,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.311458333333333,"Low",0.0772532188841202,"Mid-Range"
5,"TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors",13750,30,3,2002,38500,"Diesel",90,0,"Black",0,2000,3,4,5,210,1170,1,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0.357142857142857,"Low",0.0769230769230769,"Mid-Range"
6,"TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors",12950,32,1,2002,61000,"Diesel",90,0,"White",0,2000,3,4,5,210,1170,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0.212295081967213,"Low",0.0769230769230769,"Mid-Range"
7,"TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors",16900,27,6,2002,94612,"Diesel",90,1,"Grey",0,2000,3,4,5,210,1245,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0.178624275990361,"Low",0.072289156626506,"Premium"
8,"TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors",18600,30,3,2002,75889,"Diesel",90,1,"Grey",0,2000,3,4,5,210,1245,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0.245094809524437,"Low",0.072289156626506,"Premium"
9,"TOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors",21500,27,6,2002,19700,"Petrol",192,0,"Red",0,1800,3,4,5,100,1185,0,1,3,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1.09137055837563,"Low",0.162025316455696,"Premium"
10,"TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors",12950,23,10,2002,71138,"Diesel",69,0,"Blue",0,1900,3,4,5,185,1105,0,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.182040540920464,"Low",0.0624434389140271,"Mid-Range"
